📺央视频道,#genre#
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226313/index.m3u8
汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-1.ctv
汕头综合,http://udmark.cn:8081/udp/239.21.0.101:3744
汕头经济,http://udmark.cn:8081/udp/239.21.0.102:3748#isVideo=true#
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-sheng-huo-2.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-sheng-huo-1.ctv
汕头文旅体育,http://udmark.cn:8081/udp/239.21.0.103:3752
🌊港·澳·台,#genre#
翡翠台,https://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
明珠台,https://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-12.ctv
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-6.ctv
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-14.ctv
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-19.ctv
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰香港,https://stream1.freetv.fun/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.ctv
凤凰香港,https://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.ctv
香港卫视,https://stream1.freetv.fun/c751876ae5ceaa0d82b5cf2badc152342aa92a4b45bf504d12ee45966b2fc644.ctv
无线新闻,https://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新闻,https://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8
无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
三立新闻,http://211.72.65.236:8543/.m3u8
中天娱乐，https://stream1.freetv.fun/feng-huang-zi-xun-10.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-3.ctv
东森超视,https://free.weidu.filegear-sg.me/a1c032a6/a1c032a6.php?id=b9de2ea719d1dce7
东森超视,http://211.72.65.236:8525/.m3u8
📺数字频道,#genre#
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225738/index.m3u8
纪实科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225729/index.m3u8
乐游频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
睛彩广场舞,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
嘉佳卡通,http://39.134.136.151:6610/000000001000/1000000002000025964/index.m3u8?channel-id=ystenlive&Contentid=1000000002000025964&livemode=1&stbId=00
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
🎬NewTV,#genre#
NewTV动作电影,http://39.134.65.164/PLTV/88888888/224/3221225555/1.m3u8
NewTV惊悚悬疑,http://39.134.65.166/PLTV/88888888/224/3221225553/1.m3u8
NewTV古装剧场,http://39.134.65.164/PLTV/88888888/224/3221225524/1.m3u8
NewTV家庭剧场,http://39.134.65.166/PLTV/88888888/224/3221225538/1.m3u8
NewTV军旅剧场,http://39.134.65.164/PLTV/88888888/224/3221225560/1.m3u8
NewTV热播精选,http://39.134.65.166/PLTV/88888888/224/3221225521/1.m3u8
NewTV爱情喜剧,http://39.134.65.166/PLTV/88888888/224/3221225533/1.m3u8
NewTV军事评论,http://39.134.65.166/PLTV/88888888/224/3221225535/1.m3u8
NewTV金牌综艺,http://39.134.65.166/PLTV/88888888/224/3221225525/1.m3u8
NewTV农业致富,http://39.134.65.166/PLTV/88888888/224/3221225552/1.m3u8
NewTV武搏世界,http://39.134.65.166/PLTV/88888888/224/3221225547/1.m3u8
NewTV中国功夫,http://39.134.65.164/PLTV/88888888/224/3221225604/1.m3u8
NewTV精品大剧,http://39.134.65.166/PLTV/88888888/224/3221225536/1.m3u8
NewTV精品体育,http://39.134.65.166/PLTV/88888888/224/3221225526/1.m3u8
NewTV精品纪录,http://39.134.65.166/PLTV/88888888/224/3221225545/1.m3u8
NewTV怡伴健康,http://39.134.65.164/PLTV/88888888/224/3221225571/1.m3u8
NewTV超级综艺,http://39.134.65.164/PLTV/88888888/224/3221225642/1.m3u8
NewTV超级体育,http://39.134.65.164/PLTV/88888888/224/3221225635/1.m3u8
NewTV超级电影,http://39.134.65.164/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级电视剧,http://39.134.65.164/PLTV/88888888/224/3221225637/1.m3u8
